backend;bi;big_data;c_skills;cloud_skills;css_skills;data_skills;deep_learning;embarque_skills;frontend;git_skills;java_skills;machine_learning;math_skills;matlab_skills;mobile_skills;multimedia_skills;networking;nosql_skills;other_skills;php_skills;po_skills;python;r_skills;robo_skills;scrum_skills;sql_skills;sys_skills;teck_skills;virtualisation;web_scraping;bac;eng;licence;master;other;phd;prep
0.0;0.17407765595569785;0.3481553119113957;0.0;0.17407765595569785;0.0;0.5222329678670935;0.17407765595569785;0.0;0.17407765595569785;0.0;0.0;0.3481553119113957;0.3481553119113957;0.0;0.0;0.0;0.0;0.17407765595569785;0.0;0.0;0.0;0.3481553119113957;0.17407765595569785;0.0;0.0;0.17407765595569785;0.0;0.0;0.0;0.17407765595569785;1;1;0;1;0;0;1
0.0;0.0;0.3190650882719658;0.0;0.0;0.0;0.32954542182229335;0.0;0.0;0.0;0.0;0.0;0.4613502755952674;0.0;0.0;0.0;0.0;0.0;0.0;0.7238755390123016;0.0;0.0;0.22968981612119885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1;0;0;0
0.0;0.0;0.0;0.4219623568393166;0.0;0.0;0.0;0.3461328439389392;0.0;0.0;0.0;0.3255527392341785;0.2470794485467591;0.0;0.0;0.0;0.0;0.0;0.0;0.3101413888003013;0.6151353237150036;0.0;0.24602405636718108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0
0.0;0.0;0.0;0.49483423434246304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19088745458683312;0.1448747355797326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7213677049477395;0.0;0.14425590765272941;0.2814943926310886;0.0;0.0;0.2780146497538276;0.0;0.0;0.0;0.0;1;1;0;0;0;0;0
0.0;0.0;0.3472711950798343;0.0;0.0;0.0;0.0;0.3517195030356354;0.0;0.0;0.0;0.0;0.2510673643802358;0.7938285821250212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24999493794221087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;1;0;0;1
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6490220910763277;0.49257770257141775;0.0;0.0;0.0;0.0;0.0;0.0;0.30914900787195615;0.0;0.0;0.49047367223548316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.570140467933482;0.0;0.0;0.0;0.0;0.0;0.6434016245409576;0.0;0.0;0.0;0.0;0.0;0.5108563363242612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;0;0;0;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5984335762174383;0.0;0.0;0.34046146118552795;0.0;0.0;0.0;0.0;0.0;0.0;0.21367861840819322;0.0;0.6044657318907724;0.3390071906434156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6582287041349805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5897850146941217;0.0;0.0;0.46785532966403093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.27499288572220393;0.0;0.0;0.0;0.5091483332984352;0.25362478685386314;0.19248946459813054;0.0;0.0;0.0;0.0;0.0;0.5091483332984352;0.36242765372243885;0.0;0.0;0.19166725183708183;0.0;0.0;0.0;0.369387325315247;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0
0.0;0.0;0.5924183841146766;0.0;0.0;0.0;0.0;0.6000068609263347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5376171732787945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7965635348105932;0.6045548238249802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3583547901869192;0.0;0.0;0.0;0.33704800225089665;0.5116076413661174;0.0;0.0;0.0;0.0;0.0;0.0;0.1605462386161451;0.636855744048778;0.0;0.2547111626192538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37635028332905907;0.0;0.0;0.0;0.0;0.8059485434017155;0.4247100448211249;0.0;0.0;0.0;0.0;0.0;0.16860838488885493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;1;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7045122330786756;0.0;0.0;0.0;0.0;0.5029008286605489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5007527034126038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;0;0;1
0.0;0.0;0.9106398853812036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41320091862544156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0
